Gene_ID	WT1	WT2	WT3	DDX5KD1	DDX5KD2	DDX5KD3
ENSG00000000003	7814	6430	8478	5216	4868	3378
ENSG00000000005	0	0	0	4	0	0
ENSG00000000419	4283	3430	4693	4333	4117	3277
ENSG00000000457	2382	2084	2950	2750	2557	2318
ENSG00000000460	5455	4840	6281	5428	5033	3980
ENSG00000000938	0	1	0	4	0	0
ENSG00000000971	110	94	135	21	4	1
ENSG00000001036	8935	8192	11673	7667	7764	6612
ENSG00000001084	5305	4511	6435	4060	4100	3443
ENSG00000001167	3401	3258	4275	5411	5427	4675
ENSG00000001460	2720	2449	3645	2599	2817	2516
ENSG00000001461	4073	3620	5671	4413	4745	4549
ENSG00000001497	5051	4298	5865	4824	5571	5635
ENSG00000001561	1147	1021	1348	817	674	493
ENSG00000001617	22	22	48	54	102	102
ENSG00000001626	2	0	3	55	0	7
ENSG00000001629	16353	15473	21077	16946	15968	13942
ENSG00000001630	0	0	1	0	0	0
ENSG00000001631	5761	5305	7202	5694	5750	4619
ENSG00000002016	1461	1243	1886	1322	1407	1579
ENSG00000002079	5	6	9	28	0	3
ENSG00000002330	5512	5481	6645	2715	4862	4579
ENSG00000002549	6314	5859	7725	5370	5793	4721
ENSG00000002586	5849	4720	7474	4293	5017	5277
ENSG00000002587	0	0	0	9	0	1
ENSG00000002726	0	0	0	7	0	0
ENSG00000002745	7	14	16	17	27	18
ENSG00000002746	8	4	3	127	3	7
ENSG00000002822	5598	5360	7467	5288	6775	8416
ENSG00000002834	11632	10152	15172	9829	13043	14912
ENSG00000002919	1426	1316	1717	1143	1295	1306
ENSG00000002933	0	1	0	0	1	0
ENSG00000003056	10009	8734	11513	8283	8030	6856
ENSG00000003096	7360	6693	9127	5320	5333	4364
ENSG00000003137	72	68	88	65	63	82
ENSG00000003147	13	21	39	39	12	10
ENSG00000003249	3978	3615	5313	3061	4659	5070
ENSG00000003393	6858	6571	8619	7215	6668	6030
ENSG00000003400	470	435	625	235	198	196
ENSG00000003402	3417	3188	4716	2688	3030	3047
ENSG00000003436	183	156	249	86	57	51
ENSG00000003509	1611	1271	1749	1283	1198	1018
ENSG00000003756	4840	4129	5879	3943	3970	4056
ENSG00000003987	1169	1083	1627	206	174	184
ENSG00000003989	4120	3845	5370	2963	3136	2530
ENSG00000004059	4936	4190	6145	3284	3900	3740
ENSG00000004139	3335	3338	4874	3742	4573	4940
ENSG00000004142	7018	6296	9023	5364	6548	6749
ENSG00000004399	5569	4630	7542	5323	7965	9223
ENSG00000004455	10188	9263	12007	8810	8984	7775
ENSG00000004468	75	56	71	45	16	17
ENSG00000004478	16123	14192	19811	13283	14795	13134
ENSG00000004487	26814	23954	33354	24203	24170	22220
ENSG00000004534	4932	4970	6964	6097	5972	6633
ENSG00000004660	526	464	727	585	803	890
ENSG00000004700	6503	5651	7239	4303	3676	2867
ENSG00000004766	7401	6686	8408	6245	5243	4388
ENSG00000004776	203	211	305	296	486	941
ENSG00000004777	426	340	452	506	867	1353
ENSG00000004779	7082	6052	7732	3913	4930	4053
