Gene_ID	H69ARSUP1	H69ARSUP2	H69ARSUP3	H69ARWT1	H69ARWT2	H69ARWT3
ENSG00000000003	3053	2943	2918	3422	3830	3322
ENSG00000000005	2	0	0	2	0	0
ENSG00000000419	540	493	589	594	586	571
ENSG00000000457	613	678	590	321	494	465
ENSG00000000460	1349	1243	1268	786	1142	921
ENSG00000000938	4	1	0	1	1	0
ENSG00000000971	2	1	0	4	1	2
ENSG00000001036	983	952	936	942	1187	862
ENSG00000001084	2352	2128	2107	1682	2016	1960
ENSG00000001167	1	4	6	0	1	0
ENSG00000001460	1038	1020	1000	562	627	611
ENSG00000001461	2130	1936	1941	1200	1428	1092
ENSG00000001497	4712	5143	4449	4850	4296	4011
ENSG00000001561	191	191	196	201	233	158
ENSG00000001617	53	77	54	206	117	78
ENSG00000001626	0	1	0	0	7	2
ENSG00000001629	4506	4201	4143	2095	3240	3067
ENSG00000001630	0	0	0	0	0	0
ENSG00000001631	3	1	3	0	0	0
ENSG00000002016	790	838	790	552	625	523
ENSG00000002079	0	0	0	3	0	0
ENSG00000002330	436	458	374	1440	648	557
ENSG00000002549	1011	1128	1024	1068	1419	1184
ENSG00000002586	6943	7212	6941	13054	9862	7696
ENSG00000002587	151	126	142	39	72	72
ENSG00000002726	0	0	1	2	0	5
ENSG00000002745	30	54	44	21	24	33
ENSG00000002746	0	2	4	6	0	3
ENSG00000002822	0	0	0	0	0	0
ENSG00000002834	2714	2590	2622	1588	2652	1249
ENSG00000002919	964	908	752	1299	977	776
ENSG00000002933	0	0	0	0	0	0
ENSG00000003056	3328	3252	3105	2327	3519	2217
ENSG00000003096	1423	1343	1379	1789	2274	2191
ENSG00000003137	186	108	131	110	176	100
ENSG00000003147	8	3	6	18	8	17
ENSG00000003249	4978	5087	4821	5509	4344	3195
ENSG00000003393	2752	2607	2583	789	1199	1035
ENSG00000003400	114	97	92	64	118	104
ENSG00000003402	1533	1536	1328	681	772	650
ENSG00000003436	2	0	1	4	4	1
ENSG00000003509	556	544	512	486	594	551
ENSG00000003756	1936	1987	1760	1387	1687	1337
ENSG00000003987	136	120	133	90	126	144
ENSG00000003989	1393	1228	1328	801	1213	935
ENSG00000004059	0	0	0	0	0	0
ENSG00000004139	787	791	897	801	971	550
ENSG00000004142	5759	6003	5690	7679	6433	4994
ENSG00000004399	6998	7599	7342	5484	5617	2935
ENSG00000004455	30	31	30	35	35	22
ENSG00000004468	6	5	4	19	16	12
ENSG00000004478	0	0	0	0	0	0
ENSG00000004487	2095	2100	2107	1493	2487	1461
ENSG00000004534	2963	3002	2704	1440	1809	1743
ENSG00000004660	780	884	913	805	778	572
ENSG00000004700	1023	1056	987	630	1098	931
ENSG00000004766	1250	1094	1096	881	1172	1156
ENSG00000004776	1018	991	1089	1705	1680	905
ENSG00000004777	881	1050	921	217	331	137
ENSG00000004779	3028	3365	3060	7512	4539	4287
ENSG00000004799	0	0	0	0	0	0
ENSG00000004809	1	1	4	0	0	0
ENSG00000004838	0	0	1	3	0	0
ENSG00000004846	311	283	273	300	324	395
ENSG00000004848	2629	2455	2142	1314	1320	1036
ENSG00000004864	2434	2401	2343	2149	2677	2635
ENSG00000004866	588	625	565	905	706	632
ENSG00000004897	8522	7947	8121	4479	6176	6136
ENSG00000004939	1	4	6	43	37	27
ENSG00000004948	7	2	9	5	8	9
ENSG00000004961	1325	1343	1159	1290	1621	1183
ENSG00000004975	3515	3612	3311	4778	4116	2671
ENSG00000005001	0	0	0	0	1	0
ENSG00000005007	9902	10269	9882	7691	7925	5538
ENSG00000005020	1048	858	922	886	1128	1081
ENSG00000005022	6801	7255	6949	21339	20622	17396
ENSG00000005059	1444	1465	1483	1362	1241	1160
ENSG00000005073	158	189	169	277	258	242
ENSG00000005075	1751	1756	1692	4773	2692	2434
ENSG00000005100	1002	961	1003	306	610	315
ENSG00000005102	29	12	25	3	6	2
ENSG00000005108	35	27	17	5	13	7
ENSG00000005156	3180	3246	3015	2513	2868	2167
ENSG00000005175	2245	2157	2024	1928	2333	2509
ENSG00000005187	22	19	13	14	11	19
ENSG00000005189	0	0	0	0	0	0
ENSG00000005194	2552	2609	2357	3981	3800	2879
ENSG00000005206	2792	3058	2694	3702	2428	1965
ENSG00000005238	432	452	381	357	365	215
ENSG00000005243	21	29	21	80	48	52
ENSG00000005249	353	362	333	906	1198	1068
ENSG00000005302	2388	2429	2327	2307	2462	2171
ENSG00000005339	8958	8776	8372	2130	3244	2193
ENSG00000005379	339	384	312	240	283	222
ENSG00000005381	1	0	0	1	3	1
ENSG00000005421	0	0	0	2	0	0
ENSG00000005436	709	700	712	588	868	783
ENSG00000005448	1413	1558	1475	3022	1783	1688
ENSG00000005469	823	666	675	542	715	726
ENSG00000005471	18	10	18	70	86	53
ENSG00000005483	1995	1962	1892	639	1159	1013
ENSG00000005486	8736	8881	8547	15458	10830	7723
ENSG00000005513	233	228	286	301	189	136
ENSG00000005700	1699	1490	1622	798	1225	1142
ENSG00000005801	3532	3381	3084	1455	1881	1889
ENSG00000005810	413	391	429	69	104	198
ENSG00000005812	0	0	0	0	0	0
ENSG00000005844	1	1	1	15	4	2
ENSG00000005882	471	513	528	1217	1031	711
ENSG00000005884	8277	8610	8154	6464	6835	3931
ENSG00000005889	3372	3055	2918	1281	1656	2069
ENSG00000005893	3945	3465	3692	3787	4668	3767
ENSG00000005961	33	31	24	51	27	22
ENSG00000005981	0	0	0	0	0	3
ENSG00000006007	2820	2753	2786	3098	3657	2820
ENSG00000006015	0	0	0	0	0	0
ENSG00000006016	105	87	81	303	146	160
ENSG00000006025	412	499	445	433	428	290
ENSG00000006042	0	1	0	4	0	1
ENSG00000006047	264	232	266	333	302	202
